ID,Name,PSM,NearestRoad,LandAppraisal,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,GroupDistrict,TotalUnits,BuiltYear,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
763,IDEO Q Chula - Samyan,194805.38,Patpong Road,600000,0.4,0.8,23.2,1.1,0.8,Maha Phrutharam,Bang Rak,South Bangkok,584,2016,8,1,1,1,1,0,0,1,0
764,Centric Scene Aree 2,110465.00,Bangkok Nonthaburi Road,240000,0.3,1,16.7,1.5,1,Sam Sen Nai,Phaya Thai,Central Bangkok,79,2013,11,1,1,1,0,1,1,0,0
765,The Crest Phahonyothin 11,115686.20,Bangkok Nonthaburi Road,240000,1,1.8,15.8,0.8,0.9,Sam Sen Nai,Phaya Thai,Central Bangkok,154,2012,12,1,1,1,0,0,0,0,0
766,Lumpini Selected Sutthisan-Saphan Khwai,105328.00,Asoke Din Daeng Road,375000,0.7,1.2,15.3,0.5,0.5,Sam Sen Nai,Phaya Thai,Central Bangkok,389,2018,6,1,1,1,1,0,0,0,0
767,Rhythm Phahol-Ari,107257.17,Kamphaeng Phet 6 Road,35000,0.7,1.6,15.6,0.5,0.6,Sam Sen Nai,Phaya Thai,Central Bangkok,809,2012,12,0,1,1,0,1,1,0,0
768,Life @ Phahon-Ari,97368.20,Kamphaeng Phet 6 Road,35000,0.5,1.4,15.5,0.3,0.4,Sam Sen Nai,Phaya Thai,Central Bangkok,357,2007,17,0,1,1,0,0,1,0,0
769,Onyx Phahonyothin,134656.58,Kamphaeng Phet 6 Road,35000,0.3,1.1,15.2,0.1,0.2,Sam Sen Nai,Phaya Thai,Central Bangkok,620,2013,11,1,1,1,0,1,1,0,0
770,The Signature by URBANO,162656.25,Kamphaeng Phet 6 Road,35000,0.1,1,15.1,0.2,0.2,Sam Sen Nai,Phaya Thai,Central Bangkok,253,2015,9,1,1,1,0,1,1,0,0
771,The Editor Saphan Khwai,164658.50,Kamphaeng Phet 6 Road,35000,0.1,0.8,14.9,0.3,0.2,Sam Sen Nai,Phaya Thai,Central Bangkok,240,2015,9,0,1,1,0,0,1,0,0
772,Lumpini Place Phahol-Saphankhwai,92445.67,Phalasinthon Road,50000,0.7,1.5,15.5,0.6,0.7,Sam Sen Nai,Phaya Thai,Central Bangkok,1093,2006,18,1,1,0,0,1,1,0,0
773,Noble Reflex,106939.00,Bangkok Nonthaburi Road,240000,0.3,1.2,16.4,1.2,1.2,Sam Sen Nai,Phaya Thai,Central Bangkok,210,2009,15,0,1,1,0,1,1,0,0
774,The Line Phahon-Pradipat,159141.54,Kamphaeng Phet 6 Road,35000,0.5,1.3,15.4,0.3,0.5,Sam Sen Nai,Phaya Thai,Central Bangkok,981,2019,5,1,1,1,0,0,0,0,0
775,Lumpini Ville Phahol-Suthisarn,73333.00,Witthayu Road,1000000,1.15,1.44,20.82,2.52,2.55,Sam Sen Nai,Phaya Thai,Central Bangkok,861,2005,19,1,1,1,0,1,1,0,0
776,CENTRIC Ari Station,166579.67,Bangkok Nonthaburi Road,240000,3.75,4.59,16.44,4.18,2.42,Sam Sen Nai,Phaya Thai,Central Bangkok,516,2016,8,1,1,1,0,1,1,0,0
777,Noble Around Ari,269085.50,Asoke Din Daeng Road,375000,3.76,4.53,16.36,4.2,2.46,Sam Sen Nai,Phaya Thai,Central Bangkok,611,2023,1,1,1,1,0,0,0,0,0
778,Haven Luxe,87930.00,Asoke Din Daeng Road,375000,2.24,1.37,14.96,1.42,3.82,Sam Sen Nai,Phaya Thai,Central Bangkok,133,2014,10,1,1,1,0,1,1,0,0
779,Siamese Ratchakru,142280.33,Bangkok Nonthaburi Road,240000,3.51,4.35,16.64,3.95,2.2,Sam Sen Nai,Phaya Thai,Central Bangkok,282,2013,11,1,1,1,0,1,1,0,0
780,D’Memoria Phaholyothin 8,99722.00,Phahon Yothin Road,130000,3.83,4.43,16.15,4.29,2.63,Sam Sen Nai,Phaya Thai,Central Bangkok,123,2016,8,1,1,1,0,0,0,0,0
781,The Vertical Aree,136534.50,Bangkok Nonthaburi Road,240000,3.82,4.66,16.39,4.25,2.49,Sam Sen Nai,Phaya Thai,Central Bangkok,189,2010,14,1,1,1,0,1,1,0,0
782,IDEO MIX Phaholyothin,103398.80,Kamphaeng Phet 6 Road,35000,1.51,2.19,14.37,1.81,4.45,Sam Sen Nai,Phaya Thai,Central Bangkok,449,2010,14,1,1,1,0,1,1,0,0
783,Noble ReD,171065.00,Phahonyothin Road,330000,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,Central Bangkok,272,2014,10,1,1,1,0,1,1,0,0
784,The Capital Ratchaprarop-Vibha,98094.00,Asoke Din Daeng Road,375000,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,Central Bangkok,537,2013,11,0,1,1,0,1,1,0,0
785,IDEO Phaholyothin Chatuchak,154936.00,Kamphaeng Phet 6 Road,35000,1.43,2.29,14.3,1.87,4.54,Sam Sen Nai,Phaya Thai,Central Bangkok,390,2018,6,1,1,1,0,0,0,0,0
786,Harmony Living Paholyothin 11,97003.00,Phahonyothin Road,330000,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,Central Bangkok,101,2007,17,0,1,0,0,0,1,0,0
787,The Fine by Fine Home Ari 4-Paholyothin,109906.00,Bangkok Nonthaburi Road,240000,4.09,4.96,16.2,4.52,2.75,Sam Sen Nai,Phaya Thai,Central Bangkok,79,2009,15,0,1,0,0,0,1,0,0
788,The Silk Phaholyothin-Aree 2,108176.00,Phahonyothin Road,330000,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,Central Bangkok,79,2009,15,0,1,1,0,1,1,0,0
789,The Silk Phaholyothin 3,120253.00,Bangkok Nonthaburi Road,240000,3.32,4.24,16.89,3.74,1.98,Sam Sen Nai,Phaya Thai,Central Bangkok,94,2007,17,0,1,0,0,0,1,0,0
790,Intro Phaholyothin-Pradipat,96073.00,Kamphaeng Phet 6 Road,35000,1.27,4.14,15.27,2.94,3.91,Sam Sen Nai,Phaya Thai,Central Bangkok,450,2017,7,0,0,0,0,0,0,0,0
791,KALM Penthouse Ari,187097.00,Bangkok Nonthaburi Road,240000,3.61,4.63,16.82,4.01,2.23,Sam Sen Nai,Phaya Thai,Central Bangkok,23,2021,3,0,1,1,0,0,1,0,0
792,Suanbua Residence Ari 1- Ralakru,175169.00,Bangkok Nonthaburi Road,240000,3.71,4.58,16.52,4.14,2.37,Sam Sen Nai,Phaya Thai,Central Bangkok,54,2018,6,0,1,1,0,1,1,0,0
793,Metro Luxe Phaholyothin-Sutthisan,83799.00,Phahonyothin Road,330000,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,Central Bangkok,300,2016,8,0,0,1,0,1,0,0,0
794,Villa Rachakhru,120636.00,Bangkok Nonthaburi Road,240000,3.53,4.42,16.67,3.96,2.2,Sam Sen Nai,Phaya Thai,Central Bangkok,70,2005,19,1,1,1,0,1,1,0,0
795,The Reserve Phahol-Pradipat,147869.75,Kamphaeng Phet 6 Road,35000,1.68,1.82,14.99,2.03,3.86,Sam Sen Nai,Phaya Thai,Central Bangkok,260,2019,5,1,1,1,1,0,0,0,0
