ID,Name,PSM,NearestRoad,LandAppraisal,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,GroupDistrict,TotalUnits,BuiltYear,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
858,MY Condo Sukhumvit 52,74305.50,Pridi Banomyong Road,240000,3.25,0.89,16.31,4.46,4.26,Phra Khanong Tai,Phra Khanong,South Bangkok,147,2009,15,0,1,1,0,1,1,0,0
859,Mayfair Place Sukhumvit 64,79937.33,Udom Suk Road (Sukhumvit 103),185000,0.41,3.17,15.59,2.28,3.58,Phra Khanong Tai,Phra Khanong,South Bangkok,365,2015,9,0,1,0,0,1,1,0,0
860,Piti Sukhumvit 101,167645.00,Udom Suk Road (Sukhumvit 103),185000,4.69,3.65,15.42,1.72,3.17,Bang Chak,Phra Khanong,South Bangkok,168,2022,2,0,1,1,1,0,0,0,0
861,Whizdom Inspire Sukhumvit,192049.33,Udom Suk Road (Sukhumvit 103),185000,0.51,2.72,14.95,2.66,4.09,Bang Chak,Phra Khanong,South Bangkok,554,2020,4,0,1,1,0,0,0,0,0
862,The Unique Sukhumvit 62/1,115710.75,Udom Suk Road (Sukhumvit 103),185000,4.48,3.78,15.89,1.69,2.97,Phra Khanong Tai,Phra Khanong,South Bangkok,116,2016,8,1,1,1,1,1,1,0,0
863,B Republic Sukhumvit 101/1,64262.00,Udom Suk Road (Sukhumvit 103),185000,1.7,2.37,13.6,3.6,2.32,Bang Chak,Phra Khanong,South Bangkok,353,2014,10,1,1,1,1,0,1,0,0
864,Thewet Mansion,52775.00,Somdet Phra Pinklao Road,165000,3.51,1.02,19.61,2.36,4.02,Bang Khun Phrom,Phra Nakhon,Central Bangkok,138,1993,31,0,1,0,0,1,1,0,0
865,Aspire Srinakarin,74828.00,Srinakarin Road,142500,3.95,3.12,11.33,1.69,1.42,Nong Bon,Prawet,Eastern Bangkok,330,2012,12,0,1,1,0,1,1,0,0
866,The Key Udomsuk,34600.00,Srinakarin Road,142500,4.76,3.6,10.63,2.56,1.75,Nong Bon,Prawet,Eastern Bangkok,154,2013,11,1,1,1,0,1,1,0,0
867,Supalai Park Sainakarin,42184.57,Srinakarin Road,142500,3.88,2.64,11.6,2.18,0.79,Nong Bon,Prawet,Eastern Bangkok,1415,2009,15,0,0,1,0,1,0,1,0
868,Dcondo Onnut–Rama 9,55605.20,Chaloem Phra Kiat Rama 9 Road,68750,3.72,3.79,7.63,2.88,1.36,Prawet,Prawet,Eastern Bangkok,498,2016,8,1,1,1,0,1,1,0,0
869,Lumpini Ville On Nut-Phatthanakan,56712.55,On Nut Road,90000,2.55,3.03,10.71,4.22,2.21,Prawet,Prawet,Eastern Bangkok,1594,2014,10,1,1,1,0,1,1,1,0
870,Anchan Condominium,27575.00,Phatthanakan Road,115000,3.72,3.79,7.63,2.88,1.36,Prawet,Prawet,Eastern Bangkok,281,1993,31,0,1,1,0,1,1,0,0
871,Lumpini Ville On Nut-Lat Krabang 2,53720.33,Srinakarin – Romklao Road,25000,4.89,3.54,6.08,1.53,0.51,Prawet,Prawet,Eastern Bangkok,1040,2014,10,0,1,1,1,0,0,0,0
872,The Ninth Place condominium,58140.00,Srinakarin Road,142500,3.32,2.44,11.22,1.71,1.32,Nong Bon,Prawet,Eastern Bangkok,275,2010,14,0,0,0,0,0,0,0,0
873,Lumpini Condo Town Ramintra-Navamin,55127.80,Nuan Chan Road,75000,0.6,3.11,12.85,3.06,3.89,Ram Inthra,Khan Na Yao,Eastern Bangkok,2568,2012,12,1,1,0,0,0,0,1,0
874,Chapter One  Ratburana 33,63000.00,Rama 9 Road,188333.3,4.74,1.61,25.09,2.5,4.8,Rat Burana,Rat Burana,South Krungthon,1820,2014,10,0,1,1,0,0,1,0,0
875,Ivy River,84880.00,Somdet Phra Chao Tak Sin Road,145000,3.77,2.99,27.72,1.99,4.6,Bang Pakok,Rat Burana,South Krungthon,1265,2008,16,1,1,1,0,1,1,0,0
876,ISSI Condo Suksawat,65534.50,Rama 3 Road,240000,4.37,4.37,27.74,2.54,4.2,Bang Pakok,Rat Burana,South Krungthon,892,2014,10,0,1,1,0,0,0,1,0
877,Chapter One Modern Dutch,59628.00,Rama 3 Road,240000,4.74,1.61,25.09,2.5,4.8,Rat Burana,Rat Burana,South Krungthon,1820,2014,10,0,1,0,0,1,1,0,0
878,Rhythm Rangnam,217119.90,Rangnam Road,250000,1.99,3.31,18.4,2.34,0.59,Thanon Phaya Thai,Ratchathewi,Central Bangkok,385,2018,6,1,1,1,0,1,1,0,0
879,The Complete Rajprarop,102616.50,Ratchaphruek Road,123333.3,1.67,3.1,18.8,1.85,0.51,Thanon Phaya Thai,Ratchathewi,Central Bangkok,547,2008,16,0,1,1,0,0,1,1,0
880,Manhattan Chidlom,132273.25,Phloen Chit Road,1000000,0.58,1.93,19.33,1.04,0.88,Makkasan,Ratchathewi,Central Bangkok,190,2013,11,0,1,0,0,1,1,0,0
881,IDEO Mobi Rangnam,184799.67,Rangnam Road,250000,1.72,2.86,18.35,2.14,0.43,Thanon Phaya Thai,Ratchathewi,Central Bangkok,366,2019,5,1,1,1,0,0,1,0,0
882,Q Chidlom-Phetchaburi,188571.33,Phloen Chit Road,1000000,0.56,1.89,19.33,3.41,0.92,Makkasan,Ratchathewi,Central Bangkok,352,2018,6,1,1,1,0,1,1,0,0
883,The Address Siam Ratchathewi,227627.50,Phaya Thai Road,370000,1.31,2.96,19.43,1.51,0.74,Thanon Phetchaburi,Ratchathewi,Central Bangkok,880,2023,1,0,1,0,0,0,0,0,0
884,IDEO Q Phayathai,174769.38,Phaya Thai Road,370000,1.73,3.32,19.13,1.96,0.76,Thanon Phaya Thai,Ratchathewi,Central Bangkok,476,2010,14,0,1,1,1,0,0,1,0
885,Lumpini Suite Phetchaburi-Makkasan,168464.80,Phetchaburi Road,243333.3333,1.5,1.21,18.83,2.61,1.88,Makkasan,Ratchathewi,Central Bangkok,636,2018,6,1,1,1,0,1,1,0,0
886,Circle Living Prototype,209006.50,Phetchaburi Road,243333.3333,1.55,1.2,18.81,2.59,1.92,Makkasan,Ratchathewi,Central Bangkok,477,2014,10,1,1,0,1,0,0,0,0
887,Park Origin Ratchathewi,361412.86,Phaya Thai Road,370000,1.88,3.3,18.63,0.29,0.54,Thung Phaya Thai,Ratchathewi,Central Bangkok,264,2022,2,0,1,1,0,1,1,0,0
888,Villa Asoke,126629.40,Phetchaburi Road,243333.3333,2.07,1.09,18.8,2.16,2.55,Makkasan,Ratchathewi,Central Bangkok,525,2012,12,1,1,1,0,0,0,0,0
889,The Address Asoke,146850.00,Phetchaburi Road,243333.3333,2.15,1.23,18.66,2.27,2.55,Makkasan,Ratchathewi,Central Bangkok,574,2012,12,1,1,1,0,1,1,0,0
890,Witthayu Complex,74238.00,Phloen Chit Road,1000000,0.84,1.41,19.18,2.93,1.36,Makkasan,Ratchathewi,Central Bangkok,378,1996,28,0,1,0,0,1,1,0,0
891,Circle Condominium,99652.89,Phetchaburi Road,243333.3333,1.51,1.16,18.86,2.56,1.92,Makkasan,Ratchathewi,Central Bangkok,917,2012,12,0,1,1,0,0,1,1,0
892,Q Asoke,188330.00,Phetchaburi Road,243333.3333,2.19,1.12,18.78,2.1,2.68,Makkasan,Ratchathewi,Central Bangkok,482,2015,9,1,1,1,1,1,1,0,0
893,Supalai Premier Ratchathewi,124035.67,Phaya Thai Road,370000,2.19,3.87,19.53,2.28,1.46,Thanon Phetchaburi,Ratchathewi,Central Bangkok,575,2013,11,0,1,1,1,0,1,1,0
894,Chewathai Residence Asoke,171333.57,Ratchadaphisek Ram Inthra Road,60000,2.54,1.75,18.15,2.66,2.7,Makkasan,Ratchathewi,Central Bangkok,315,2017,7,0,1,1,0,0,1,0,0
895,CONNER Ratchathewi,303176.00,Phaya Thai Road,370000,1.87,3.53,19.46,1.99,1.14,Thanon Phetchaburi,Ratchathewi,Central Bangkok,209,2021,3,0,1,1,1,1,1,0,0
896,Rhythm Asoke,140792.67,Ratchadaphisek Ram Inthra Road,60000,2.55,1.79,18.1,2.71,2.68,Makkasan,Ratchathewi,Central Bangkok,385,2015,9,1,1,1,0,0,1,1,0
897,M Phayathai,179551.75,Rangnam Road,250000,2,3.36,18.45,2.34,0.62,Thanon Phaya Thai,Ratchathewi,Central Bangkok,213,2014,10,0,1,1,1,1,1,0,0
898,Life Asoke Hype,144158.50,Ratchadaphisek Ram Inthra Road,60000,2.45,1.73,18.15,2.71,2.58,Makkasan,Ratchathewi,Central Bangkok,1253,2021,3,0,1,1,0,0,1,1,0
899,Noble House Phayathai,118470.00,Rangnam Road,250000,1.82,3.27,18.71,2.13,0.52,Thanon Phaya Thai,Ratchathewi,Central Bangkok,306,2009,15,1,1,1,0,0,1,0,0
900,Park Origin Phayathai,295402.00,Rangnam Road,250000,1.88,3.3,18.63,0.29,0.54,Thanon Phaya Thai,Ratchathewi,Central Bangkok,550,2021,3,1,1,1,1,0,0,0,0
901,Maestro 12 Ratchathewi,145833.00,Phaya Thai Road,370000,1.81,3.47,19.46,1.94,1.09,Thung Phaya Thai,Ratchathewi,Central Bangkok,115,2016,8,0,1,1,1,0,0,0,0
902,The Address Siam,121862.00,Phaya Thai Road,370000,1.32,2.96,19.41,1.52,0.72,Thanon Phetchaburi,Ratchathewi,Central Bangkok,238,2007,17,0,1,0,0,1,1,0,0
903,Phayathai Plaza,105909.00,Phaya Thai Road,370000,1.72,3.29,19.06,1.96,0.69,Thanon Phetchaburi,Ratchathewi,Central Bangkok,635,1994,30,0,0,1,0,1,1,0,0
904,The Address Pathumwan,129678.75,Phaya Thai Road,370000,1.35,3.02,19.56,1.5,0.89,Thanon Phetchaburi,Ratchathewi,Central Bangkok,156,2009,15,0,1,1,0,1,1,0,0
905,Grand Diamond Pratunam,101500.00,Phetchaburi Road,243333.3,1.46,3.04,19.52,1.8,0.95,Thanon Phetchaburi,Ratchathewi,Central Bangkok,610,1998,26,0,1,1,0,1,1,0,0
906,The Address Phaya Thai,131887.00,Asoke Din Daeng Road,375000,2.16,1.46,14.88,1.44,3.89,Thung Phaya Thai,Ratchathewi,Central Bangkok,152,2013,11,0,1,1,0,1,1,0,0
907,IDEO Mobi Phaya Thai,185835.40,Rangnam Road,250000,1.99,3.49,18.78,2.26,0.77,Thung Phaya Thai,Ratchathewi,Central Bangkok,317,2012,12,1,1,1,1,0,1,0,0
908,Chewathai Ratchaprarop,95460.50,Rangnam Road,250000,1.94,2.97,18.09,2.38,0.69,Makkasan,Ratchathewi,Central Bangkok,326,2010,14,0,1,1,0,1,1,0,0
909,Wish Signature Midtown Siam,168787.73,Phatthana Chonabot 3 Road,25000,0.3,1,19.9,0.3,0.7,Thanon Phetchaburi,Ratchathewi,Central Bangkok,623,2017,7,1,1,1,1,0,1,0,0
910,IDEO Q Ratchathewi,165956.00,Phaya Thai Road,370000,1.39,3.02,19.36,1.59,0.71,Thanon Phaya Thai,Ratchathewi,Central Bangkok,323,2015,9,1,1,1,0,0,1,0,0
911,The Room Phaya Thai,193103.00,Ratchaprarop Road,400000,1.41,2.67,18.69,1.81,0.15,Thanon Phaya Thai,Ratchathewi,Central Bangkok,437,2021,3,1,1,1,1,0,0,0,0
912,The Line Ratchathewi,242713.50,Phaya Thai Road,370000,1.38,3.03,19.45,1.55,0.8,Thanon Phetchaburi,Ratchathewi,Central Bangkok,231,2017,7,1,1,1,1,0,0,0,0
913,Wish @ Siam,98333.33,Phaya Thai Road,370000,1.81,3.51,19.77,1.86,1.34,Thanon Phetchaburi,Ratchathewi,Central Bangkok,284,2008,16,0,1,0,0,1,1,0,0
914,Villa Ratchatewi,145878.00,Phaya Thai Road,370000,1.58,3.2,19.27,1.79,0.76,Thanon Phaya Thai,Ratchathewi,Central Bangkok,744,2008,16,1,1,1,0,1,1,0,0
915,IDEO Q Victory,246533.00,Rangnam Road,250000,2.1,3.39,18.28,2.46,0.69,Thanon Phaya Thai,Ratchathewi,Central Bangkok,348,2019,5,0,1,1,0,0,1,0,0
916,Supalai Elite Phayathai,125223.62,Rangnam Road,250000,1.49,2.82,18.69,1.88,0.1,Thanon Phaya Thai,Ratchathewi,Central Bangkok,258,2017,7,0,1,1,0,1,1,0,0
917,The Mark Ratchada-Airport Link,72782.75,Ratchadaphisek Ram Inthra Road,60000,2.25,1.69,18.2,2.79,2.35,Makkasan,Ratchathewi,Central Bangkok,423,2012,12,0,1,1,0,1,1,0,0
918,Pratunam Prestige,89015.00,Phetchaburi Road,243333.3,1.67,3.1,18.8,1.85,0.51,Thanon Phaya Thai,Ratchathewi,Central Bangkok,304,1994,30,0,1,0,0,0,1,0,0
919,The Platinum Condominium,102222.50,Ratchaprarop Road,400000,0.84,2.42,19.39,3.94,0.65,Thanon Phetchaburi,Ratchathewi,Central Bangkok,319,2006,18,0,1,0,0,0,1,0,0
920,Baan Klang Krung Siam-Pathumwan,129795.00,Phaya Thai Road,370000,1.42,3.08,19.49,1.58,0.85,Thanon Phetchaburi,Ratchathewi,Central Bangkok,580,2007,17,1,1,1,0,1,1,0,0
921,XT Phayathai,148731.54,Rangnam Road,250000,1.52,2.87,18.71,1.89,0.12,Thanon Phaya Thai,Ratchathewi,Central Bangkok,1435,2022,2,1,1,1,1,0,0,0,0
922,Baan Pathumwan,82968.00,Phaya Thai Road,370000,1.67,3.27,19.21,1.88,0.77,Thung Phaya Thai,Ratchathewi,Central Bangkok,194,1996,28,0,0,0,0,0,0,0,0
923,Pathumwan Resort,95571.67,Phaya Thai Road,370000,1.48,3.05,19.15,1.73,0.55,Thanon Phaya Thai,Ratchathewi,Central Bangkok,690,2013,11,0,1,0,0,1,1,0,0
924,IDEO Q Siam-Ratchathewi,180110.17,Phaya Thai Road,370000,1.28,2.9,19.36,1.5,0.65,Thanon Phaya Thai,Ratchathewi,Central Bangkok,550,2014,10,0,1,1,1,0,1,0,0
925,PYNE by Sansiri,248294.67,Phaya Thai Road,370000,1.56,3.24,19.58,1.68,1.03,Thanon Phetchaburi,Ratchathewi,Central Bangkok,298,2012,12,1,1,1,0,1,1,0,0
926,IDEO Verve Ratchaprarop,119040.25,Ratchaprarop Road,400000,1.15,2.39,18.85,3.92,0.37,Makkasan,Ratchathewi,Central Bangkok,447,2012,12,1,1,1,0,1,1,0,0
927,Maestro 14 Siam-Ratchathewi,159483.00,Phaya Thai Road,370000,1.67,3.37,19.77,1.73,1.25,Thanon Phetchaburi,Ratchathewi,Central Bangkok,179,2018,6,1,1,1,0,0,0,0,0
928,Noble Revent,163785.25,Rangnam Road,250000,1.67,3.15,18.86,1.97,0.45,Thanon Phaya Thai,Ratchathewi,Central Bangkok,261,2014,10,0,1,1,0,1,1,0,0
929,Supreme Condo Ratchawithi 3,114839.00,Rangnam Road,250000,2.09,3.21,18.06,2.5,0.73,Phaya Thai,Phaya Thai,Central Bangkok,79,2013,11,1,0,1,0,1,0,0,0
930,Condolette Ize Ratchathewi,132203.00,Phaya Thai Road,370000,1.67,3.32,19.45,1.81,0.98,Thanon Phetchaburi,Ratchathewi,Central Bangkok,306,2013,11,0,1,1,0,0,1,0,0
931,Reach Phahonyothin 52,54258.00,Watcharaphon Road,65000,0.47,0.48,2.2,4.32,1.88,Khlong Thanon,Sai Mai,North Bangkok,826,2019,5,0,1,1,0,1,1,0,0
932,Baan Eua Athon Saimai,14666.00,Sukhaphiban 5 Road,50000,3.26,2.87,5.5,1.74,4.28,Sai Mai,Sai Mai,North Bangkok,2344,2010,14,0,1,0,0,0,1,0,0
933,Bavorn Condo,19669.00,Phahonyothin Road,330000,2.16,3.75,4.4,1.71,3.63,Sai Mai,Sai Mai,North Bangkok,281,1992,32,0,1,0,0,0,1,0,0
934,Plum Condo Saphanmai Station,74404.33,Watcharaphon Road,65000,0.51,0.36,2.15,4.47,1.76,Khlong Thanon,Sai Mai,North Bangkok,681,2019,5,0,1,1,0,1,1,0,0
935,The Cube Plus Phahonyothin 56,66620.00,Sai Mai Road,50000,1.05,4.62,3.3,1.67,2.97,Sai Mai,Sai Mai,North Bangkok,141,2020,4,0,1,1,0,1,1,0,0
936,Unio Rama 2-Thakham,62553.00,Bang Khun Thian Road,60000,8,3.27,32.89,2.54,1.76,Samae Dam,Bang Khun Thian,South Krungthon,728,2017,7,0,1,1,0,0,0,1,0
937,Smart Condo Rama 2,42002.20,Bang Khun Thian Road,60000,7.7,1.55,34.02,2.14,3.43,Samae Dam,Bang Khun Thian,South Krungthon,2032,2009,15,0,1,1,0,1,1,0,0
938,THE SEED Phaholyothin,100000.00,Asoke Din Daeng Road,375000,4.76,1.49,15.31,2,3.51,Sam Sen Nai,Phaya Thai,Central Bangkok,117,2008,16,1,1,1,0,1,1,0,0
939,Noble Reform,150755.00,Asoke Din Daeng Road,375000,4.12,4.87,16.01,4.57,2.83,Sam Sen Nai,Phaya Thai,Central Bangkok,191,2012,12,0,1,1,0,0,0,0,0
940,Le monaco Residence Ari condominium,158730.00,Phahonyothin Road,330000,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,Central Bangkok,64,2012,12,0,1,1,0,1,1,0,0
941,Noble Lite,129497.20,Bangkok Nonthaburi Road,240000,3.85,4.68,16.35,4.28,2.53,Sam Sen Nai,Phaya Thai,Central Bangkok,217,2006,18,0,1,1,0,1,1,1,0
942,Aree Place Phahonyothin,82888.00,Phahon Yothin Road,130000,0.2,1.1,16.6,1.3,1.1,Phaya Thai,Phaya Thai,Central Bangkok,250,2006,18,0,1,0,0,0,1,0,0
943,Fynn Aree,133045.50,Bangkok Nonthaburi Road,240000,3.76,4.69,16.56,4.17,2.4,Sam Sen Nai,Phaya Thai,Central Bangkok,79,2017,7,0,1,1,0,1,1,0,0
944,C Style Condominium Ratchada 18,58529.00,Ratchadaphisek Road,390000,1.6,2.72,13.76,2.43,4.22,Samsen Nok,Huai Khwang,Central Bangkok,188,2012,12,0,1,1,0,1,1,0,0
945,Ratchada City 18 Condominium,44972.00,Lat Phrao Road,233333.3333,2.07,1.42,14.47,4.82,3.85,Samsen Nok,Huai Khwang,Central Bangkok,664,2009,15,0,1,1,0,1,1,0,0
946,Ivy Ratchada,48507.00,Sangkhom Songkhro Road,70000,0.91,2.62,13.86,1.07,4.75,Samsen Nok,Huai Khwang,Central Bangkok,456,2007,17,0,1,1,0,1,1,0,0
947,Lumpini Ville Latphrao-Chokchai 4,67522.50,Sangkhom Songkhro Road,70000,2.01,2.74,13.01,1.68,4.83,Saphansong,Wang Thonglang,Central Bangkok,1020,2009,15,0,1,1,1,0,0,0,0
948,The Station Sathorn-Bangrak,68852.00,Silom Road,600000,2.57,3.57,22.32,2.09,3.55,Yan Nawa,Sathon,South Bangkok,675,2008,16,0,1,0,0,1,1,0,0
949,The Bangkok Sathorn,231189.14,Narathiwat Ratchanakharin Road,440000,3.38,3.78,23.26,2.9,4.01,Yan Nawa,Sathon,South Bangkok,468,2016,8,1,1,1,0,1,1,0,0
950,Anil Sathorn 12,281735.75,Sathon Road,625000,3.15,4.03,22.93,2.67,4.16,Silom,Bang Rak,South Bangkok,222,2022,2,0,1,1,1,0,0,0,0
951,The Met Sathorn,181322.83,Sathon Road,625000,2.63,3.23,22.51,3.87,3.83,Thung Maha Mek,Sathon,South Bangkok,370,2009,15,0,1,1,1,0,1,0,0
952,The Hudson Sathorn 7,160159.50,Sathon Road,625000,2.71,3.31,22.59,3.93,3.91,Thung Maha Mek,Sathon,South Bangkok,49,2014,10,1,1,1,0,0,0,0,0
953,Bangkok Horizon Sathorn,100000.00,Narathiwat Ratchanakharin Road,440000,3.63,4,23.51,3.16,4.25,Thung Wat Don,Sathon,South Bangkok,268,2015,9,1,1,1,0,1,1,0,0
954,Rhythm Sathorn,163897.33,Sathon Road,625000,4.15,3,23.75,3.68,0.59,Yan Nawa,Sathon,South Bangkok,910,2015,9,1,1,1,0,0,1,0,0
955,Fuse Chan-Sathorn,94993.14,Narathiwat Ratchanakharin Road,440000,0.9,1.7,23.51,0.6,1.5,Thung Wat Don,Sathon,South Bangkok,1227,2014,10,1,1,1,0,1,1,0,0
956,Marsh Tien Zieng,69718.00,Sathon Road,625000,0.6,1.5,22.55,1.3,0.8,Thung Maha Mek,Sathon,South Bangkok,40,1997,27,0,1,1,0,1,1,0,0
957,Supalai Elite Sathorn-Suanplu,144104.00,Sathon Road,625000,0.7,0.8,22.55,0.8,0.5,Thung Maha Mek,Sathon,South Bangkok,180,2016,8,0,1,1,0,0,0,1,0
958,The Sukhothai Residences,355633.33,Rama 4 Road,475000,0.7,1,22.55,1,0.8,Thung Maha Mek,Sathon,South Bangkok,196,2012,12,1,1,1,0,0,1,0,0
959,Four Seasons Private Residences,488710.79,Chalong Krung Road,29500,0.9,0.4,23.11,1,1.4,Yan Nawa,Sathon,South Bangkok,355,2018,6,0,1,0,0,1,1,0,0
960,The Seed Mingle Sathorn-Suanplu,109944.20,Narathiwat Ratchanakharin Road,440000,0.8,1,22.55,1,0.8,Thung Maha Mek,Sathon,South Bangkok,531,2011,13,1,1,1,0,1,1,0,0
961,Sathorn Gardens,133980.33,Thaniya Road,600000,0.8,0.9,22.55,0.7,0.5,Thung Maha Mek,Sathon,South Bangkok,580,2009,15,0,1,1,1,0,0,0,0
962,Lumpini Place Suanplu-Sathorn,67623.00,Narathiwat Ratchanakharin Road,440000,0.8,1,22.55,1,0.8,Thung Maha Mek,Sathon,South Bangkok,281,2003,21,1,1,0,0,0,1,0,0
963,Lumpini Ville Phra Mae Maree - Sathorn,59504.00,Narathiwat Ratchanakharin Road,440000,1.07,1.4,23.51,1.2,1.6,Thung Wat Don,Sathon,South Bangkok,300,2013,11,1,1,1,0,1,1,0,0
964,The Room Sathorn-St.Louis,124134.33,Narathiwat Ratchanakharin Road,440000,1.07,1.2,23.51,1,1.3,Thung Wat Don,Sathon,South Bangkok,376,2016,8,0,1,1,0,0,1,0,0
965,Urbana Sathorn,157583.00,Thaniya Road,600000,0.6,0.7,22.55,0.6,0.2,Thung Maha Mek,Sathon,South Bangkok,242,2006,18,1,1,0,0,1,0,0,0
966,Baan Sathon,79422.00,Narathiwat Ratchanakharin Road,440000,0.6,0.8,22.55,1.4,1.3,Thung Maha Mek,Sathon,South Bangkok,50,1993,31,0,1,0,0,0,1,0,0
967,Knightsbridge Prime Sathorn,170144.76,Narathiwat Ratchanakharin Road,440000,0.1,0.6,22.55,0.8,0.9,Thung Maha Mek,Sathon,South Bangkok,726,2019,5,1,1,1,1,0,0,0,0
968,Rhythm Sathorn-Narathiwas,126401.50,Sathon Road,625000,0.2,0.4,22.55,1,0.8,Thung Maha Mek,Sathon,South Bangkok,301,2013,11,1,1,1,0,1,1,0,0
969,Ascott Sathorn,108328.00,Sathon Road,625000,0.3,0.2,23.11,1.1,0.4,Yan Nawa,Sathon,South Bangkok,177,2003,21,0,1,1,0,0,1,0,0
970,Sky Villas Sathorn,103261.00,Sathon Road,625000,0.2,0.2,23.11,1.1,0.4,Yan Nawa,Sathon,South Bangkok,177,2012,12,0,1,1,0,1,1,0,0
971,Quad Sathon,85714.00,Sathon Road,625000,0.2,0.4,23.11,1,0.6,Yan Nawa,Sathon,South Bangkok,64,2013,11,1,1,1,0,0,1,0,0
972,The Empire Place,145537.82,Sathon Road,625000,0.2,0.2,23.11,1.1,0.6,Yan Nawa,Sathon,South Bangkok,493,2009,15,1,1,1,0,1,1,0,0
973,Supreme Elegance,93103.50,Narathiwat Ratchanakharin Road,440000,0.2,1,22.55,0.8,2.2,Thung Maha Mek,Sathon,South Bangkok,35,2004,20,0,1,1,0,1,1,0,0
974,The Issara Sathorn,197786.88,Narathiwat Ratchanakharin Road,440000,0.6,0.7,22.55,0.6,1.8,Thung Maha Mek,Sathon,South Bangkok,270,2023,1,0,1,1,0,0,0,0,0
975,Blossom Condo @ Sathorn-Charoenrat,121697.00,Sathon Road,625000,1,0.7,23.51,1.1,1.1,Thung Wat Don,Sathon,South Bangkok,899,2018,6,0,1,1,0,1,1,0,0
976,Nara 9 by Eastern Star,170186.44,Sathon Road,625000,0.1,0.5,22.55,0.9,0.8,Thung Maha Mek,Sathon,South Bangkok,361,2015,9,1,1,1,0,0,0,0,0
977,Regal Sathon-Naradhiwas,130538.00,Narathiwat Ratchanakharin Road,440000,0.2,1.1,22.55,0.5,2,Thung Maha Mek,Sathon,South Bangkok,260,2021,3,0,1,0,0,1,1,0,0
978,Narathorn Place,101240.00,Sathon Road,625000,0.2,0.3,22.55,0.9,0.6,Thung Maha Mek,Sathon,South Bangkok,22,2004,20,0,1,0,0,0,1,0,0
979,The Bangkok Narathiwas,80000.00,Narathiwat Ratchanakharin Road,440000,0.4,1.4,23.51,0.3,1.4,Thung Wat Don,Sathon,South Bangkok,294,2005,19,0,1,0,0,0,1,0,0
980,Windshell Naradhiwas,349267.20,Narathiwat Ratchanakharin Road,440000,0.2,1.1,22.55,0.6,2.1,Thung Maha Mek,Sathon,South Bangkok,36,2019,5,0,1,1,0,1,1,0,0
981,Amanta Lumpini,165078.40,Rama 4 Road,475000,0.3,1.2,22.55,1.2,1.8,Thung Maha Mek,Sathon,South Bangkok,286,2009,15,0,1,1,1,0,0,0,0
982,The Crown Rama 4-Sathon,291339.00,Rama 4 Road,475000,0.4,1.3,22.55,1.7,1.7,Thung Maha Mek,Sathon,South Bangkok,183,2023,1,0,1,1,0,0,0,0,0
983,Baan Nunthasiri,199913.33,Rama 4 Road,475000,0.5,1,22.55,1.2,1,Thung Maha Mek,Sathon,South Bangkok,79,2005,19,0,1,0,0,0,1,0,0
984,Centric Sathorn-St Louis,138238.50,Sathon Road,625000,0.5,0.4,23.11,1.3,0.2,Yan Nawa,Sathon,South Bangkok,364,2014,10,1,1,1,0,1,1,0,0
985,Merlin Tower,34750.00,Prachathipok Road,143500,0.1,0.2,23.51,0.8,0.6,Thung Wat Don,Sathon,South Bangkok,150,2012,12,0,1,0,1,1,1,0,0
986,St. Louis Grand Terrace,111555.57,Sathon Road,625000,0.5,0.4,23.11,1.2,0.2,Yan Nawa,Sathon,South Bangkok,245,2006,18,0,1,0,0,0,1,0,0
987,The Reserve Sathorn,234439.00,Thaniya Road,600000,0.7,0.8,22.55,0.7,0.3,Thung Maha Mek,Sathon,South Bangkok,134,2021,3,1,1,1,0,0,1,0,0
988,Baan Siri Sathorn Yenakard,129537.00,Rama 4 Road,475000,0.9,0.5,22.55,1.6,1.6,Thung Maha Mek,Sathon,South Bangkok,169,2003,21,0,1,0,0,0,1,0,0
989,Sathorn Residence Condominium,82255.00,Narathiwat Ratchanakharin Road,440000,0.4,1.4,23.51,1.2,1.3,Thung Wat Don,Sathon,South Bangkok,79,2012,12,0,1,1,0,1,1,0,0
990,Chateau In Town Phaholyothin 32,63000.00,Sena Nikhom 1 Road,80000,0.6,1.8,9.6,1.6,0.6,Sena Nikhom,Chatuchak,North Bangkok,207,2013,11,0,1,1,0,1,1,0,0
991,Condo U Ratchayothin,59423.00,Sena Nikhom 1 Road,80000,0.8,1.8,9.6,1.6,0.7,Lat Yao,Chatuchak,North Bangkok,394,2014,10,1,1,1,0,1,1,0,0
992,Life @ Sathorn 10,136662.33,Sathon Road,625000,0.3,0.3,22.93,1,0.5,Silom,Bang Rak,South Bangkok,286,2010,14,0,1,1,0,1,1,0,0
993,Ivy Sathorn 10,132222.40,Silom Road,600000,0.3,0.4,22.93,1,0.5,Silom,Bang Rak,South Bangkok,300,2008,16,0,1,1,0,1,1,0,0
994,Silom Grand Terrace,193724.00,Thaniya Road,600000,0.2,1,22.93,0.1,0.3,Silom,Bang Rak,South Bangkok,226,2005,19,0,1,1,0,0,0,1,0
995,Silom Suite,106092.83,Sathon Road,625000,0.4,0.4,22.93,1.1,0.3,Silom,Bang Rak,South Bangkok,281,1997,27,0,1,0,0,0,1,0,0
